|cell_zid|geometry|adm_zid|adm_name|okrug_name|sub_ter|okrug_id|area|customers_cnt_home|customers_cnt_job|customers_cnt_day|customers_cnt_move|served|blocked|predicted
21|33968|POLYGON ((37.04119906074389 55.15379167920577, 37.04114750154608 55.15828343130504, 37.04899247760709 55.15831270328582, 37.04904315540631 55.15382094632188, 37.04119906074389 55.15379167920577))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|25|8|19|0|0|0|0.10249307479224372
22|33969|POLYGON ((37.04904315540631 55.15382094632188, 37.04899247760709 55.15831270328582, 37.05683746782502 55.15834147050996, 37.05688726230544 55.15384970875826, 37.04904315540631 55.15382094632188))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|35|5|35|2|0|0|1.0
23|33970|POLYGON ((37.05688726230544 55.15384970875826, 37.05683746782502 55.15834147050996, 37.06468247195365 55.15836973297547, 37.06473138503674 55.15387796543047, 37.05688726230544 55.15384970875826))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|11|2|6|0|0|0|0.10249307479224372
24|33971|POLYGON ((37.06473138503674 55.15387796543047, 37.06468247195365 55.15836973297547, 37.07252748974678 55.15839749068046, 37.07257552141516 55.15390571852252, 37.06473138503674 55.15387796543047))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|4|0|4|0|0|0|0.07756232686980602
25|33972|POLYGON ((37.07257552141516 55.15390571852252, 37.07252748974678 55.15839749068046, 37.08037252097546 55.15842474197823, 37.08041967120675 55.15393296693599, 37.07257552141516 55.15390571852252))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|13|4|11|0|0|0|0.10249307479224372
26|33973|POLYGON ((37.08041967120675 55.15393296693599, 37.08037252097546 55.15842474197823, 37.0882175653586 55.15845149015643, 37.0882638341654 55.15395971066902, 37.08041967120675 55.15393296693599))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|12|8|12|0|0|0|0.10249307479224372
27|33974|POLYGON ((37.0882638341654 55.15395971066902, 37.0882175653586 55.15845149015643, 37.09606262266762 55.1584777335685, 37.09610801005052 55.15398594917155, 37.0882638341654 55.15395971066902))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|12|4|13|0|0|0|0.10249307479224372
28|33975|POLYGON ((37.09610801005052 55.15398594917155, 37.09606262266762 55.1584777335685, 37.10390769265626 55.15850347221265, 37.1039521986048 55.15401168353828, 37.09610801005052 55.15398594917155))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|6|2|6|0|0|0|0.12742382271468142
29|33976|POLYGON ((37.1039521986048 55.15401168353828, 37.10390769265626 55.15850347221265, 37.11175277507829 55.15852870608712, 37.11179639958774 55.1540369132192, 37.1039521986048 55.15401168353828))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|25|0|15|0|0|0|0.09418282548476449
30|33977|POLYGON ((37.11179639958774 55.1540369132192, 37.11175277507829 55.15852870608712, 37.11959786968752 55.15855343519016, 37.11964061275323 55.15406163821261, 37.11179639958774 55.1540369132192))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|7|5|9|0|0|0|0.10249307479224372
31|33978|POLYGON ((37.11964061275323 55.15406163821261, 37.11959786968752 55.15855343519016, 37.1274429762377 55.15857765952014, 37.12748483785511 55.15408585851683, 37.11964061275323 55.15406163821261))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|25|4|23|0|0|0|0.10249307479224372
32|33979|POLYGON ((37.12748483785511 55.15408585851683, 37.1274429762377 55.15857765952014, 37.13528809449262 55.15860137797888, 37.13532907464728 55.15410957413017, 37.12748483785511 55.15408585851683))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|25|8|25|1|0|0|0.9806094182825484
33|33980|POLYGON ((37.13532907464728 55.15410957413017, 37.13528809449262 55.15860137797888, 37.14313322418577 55.15862459275774, 37.14317332288356 55.15413278505103, 37.13532907464728 55.15410957413017))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|24|4|20|1|0|0|0.9806094182825484
34|34317|POLYGON ((37.01761266268154 55.15819258685039, 37.01755844417944 55.16268432048585, 37.02540425792707 55.16271511129361, 37.0254575947946 55.15822337308892, 37.01761266268154 55.15819258685039))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|9|2|8|0|0|0|0.11634349030470911
35|34318|POLYGON ((37.0254575947946 55.15822337308892, 37.02540425792707 55.16271511129361, 37.03325008656928 55.16274539781515, 37.03330253988819 55.15825365456956, 37.0254575947946 55.15822337308892))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|68|10|51|0|0|0|0.10249307479224372
36|34319|POLYGON ((37.03330253988819 55.15825365456956, 37.03325008656928 55.16274539781515, 37.04109592986639 55.16277517950016, 37.04114750154608 55.15828343130504, 37.03330253988819 55.15825365456956))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|23|6|18|0|0|0|0.10249307479224372
37|34320|POLYGON ((37.04114750154608 55.15828343130504, 37.04109592986639 55.16277517950016, 37.04894178757208 55.16280445634659, 37.04899247760709 55.15831270328582, 37.04114750154608 55.15828343130504))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|54|5|41|2|0|0|1.0
38|34321|POLYGON ((37.04899247760709 55.15831270328582, 37.04894178757208 55.16280445634659, 37.0567876594401 55.1628332283525, 37.05683746782502 55.15834147050996, 37.04899247760709 55.15831270328582))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|55|9|41|6|0|0|1.0
39|34322|POLYGON ((37.05683746782502 55.15834147050996, 37.0567876594401 55.1628332283525, 37.06463354522413 55.16286149551585, 37.06468247195365 55.15836973297547, 37.05683746782502 55.15834147050996))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|37|8|30|1|0|0|1.0
40|34323|POLYGON ((37.06468247195365 55.15836973297547, 37.06463354522413 55.16286149551585, 37.07247944468958 55.16288925673831, 37.07252748974678 55.15839749068046, 37.06468247195365 55.15836973297547))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|8|5|9|0|0|0|0.11080332409972296
41|34324|POLYGON ((37.07252748974678 55.15839749068046, 37.07247944468958 55.16288925673831, 37.08032535756648 55.16291651421088, 37.08037252097546 55.15842474197823, 37.07252748974678 55.15839749068046))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|26|4|23|0|0|0|0.10249307479224372
42|34325|POLYGON ((37.08037252097546 55.15842474197823, 37.08032535756648 55.16291651421088, 37.08817128362047 55.16294326683524, 37.0882175653586 55.15845149015643, 37.08037252097546 55.15842474197823))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|17|5|16|0|0|0|0.10249307479224372
43|34326|POLYGON ((37.0882175653586 55.15845149015643, 37.08817128362047 55.16294326683524, 37.09601722260523 55.1629695146096, 37.09606262266762 55.1584777335685, 37.0882175653586 55.15845149015643))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|10|3|8|0|0|0|0.11634349030470911
44|34327|POLYGON ((37.09606262266762 55.1584777335685, 37.09601722260523 55.1629695146096, 37.10386317427444 55.16299525753211, 37.10390769265626 55.15850347221265, 37.09606262266762 55.1584777335685))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|8|3|11|0|0|0|0.11634349030470911
45|34328|POLYGON ((37.10390769265626 55.15850347221265, 37.10386317427444 55.16299525753211, 37.11170913838181 55.16302049560105, 37.11175277507829 55.15852870608712, 37.10390769265626 55.15850347221265))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|9|0|8|0|0|0|0.10803324099722988
46|34329|POLYGON ((37.11175277507829 55.15852870608712, 37.11170913838181 55.16302049560105, 37.119555114681 55.16304522881468, 37.11959786968752 55.15855343519016, 37.11175277507829 55.15852870608712))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|8|0|7|0|0|0|0.10803324099722988
47|34330|POLYGON ((37.11959786968752 55.15855343519016, 37.119555114681 55.16304522881468, 37.12740110293591 55.16306945607484, 37.1274429762377 55.15857765952014, 37.11959786968752 55.15855343519016))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|6|0|3|0|0|0|0.18836565096952915
48|34331|POLYGON ((37.1274429762377 55.15857765952014, 37.12740110293591 55.16306945607484, 37.13524710287956 55.16309317957283, 37.13528809449262 55.15860137797888, 37.1274429762377 55.15857765952014))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|20|2|12|1|0|0|0.9806094182825484
49|34332|POLYGON ((37.13528809449262 55.15860137797888, 37.13524710287956 55.16309317957283, 37.14309311427607 55.16311639821055, 37.14313322418577 55.15862459275774, 37.13528809449262 55.15860137797888))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|30|7|25|0|0|0|0.10249307479224372
50|34668|POLYGON ((37.01755844417944 55.16268432048585, 37.01750421245163 55.16717605021437, 37.02535090806698 55.16720684668884, 37.02540425792707 55.16271511129361, 37.01755844417944 55.16268432048585))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|17|9|18|3|0|0|0.6260387811634348
51|34669|POLYGON ((37.02540425792707 55.16271511129361, 37.02535090806698 55.16720684668884, 37.03319761858922 55.16723713824492, 37.03325008656928 55.16274539781515, 37.02540425792707 55.16271511129361))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|44|5|36|1|0|0|1.0
52|34670|POLYGON ((37.03325008656928 55.16274539781515, 37.03319761858922 55.16723713824492, 37.04104434377194 55.16726692488059, 37.04109592986639 55.16277517950016, 37.03325008656928 55.16274539781515))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|55|8|44|4|0|0|1.0
53|34671|POLYGON ((37.04109592986639 55.16277517950016, 37.04104434377194 55.16726692488059, 37.04889108336874 55.16729620659379, 37.04894178757208 55.16280445634659, 37.04109592986639 55.16277517950016))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|58|7|37|5|0|0|1.0
54|34672|POLYGON ((37.04894178757208 55.16280445634659, 37.04889108336874 55.16729620659379, 37.05673783713326 55.16732498338251, 37.0567876594401 55.1628332283525, 37.04894178757208 55.16280445634659))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|52|4|29|5|0|0|1.0
55|34673|POLYGON ((37.0567876594401 55.1628332283525, 37.05673783713326 55.16732498338251, 37.06458460387331 55.16735325414488, 37.06463354522413 55.16286149551585, 37.0567876594401 55.1628332283525))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|24|8|22|1|0|0|0.9806094182825484
56|34674|POLYGON ((37.06463354522413 55.16286149551585, 37.06458460387331 55.16735325414488, 37.07243138523381 55.16738102107887, 37.07247944468958 55.16288925673831, 37.06463354522413 55.16286149551585))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|45|13|48|0|0|0|0.10249307479224372
57|34675|POLYGON ((37.07247944468958 55.16288925673831, 37.07243138523381 55.16738102107887, 37.08027818098055 55.16740828308589, 37.08032535756648 55.16291651421088, 37.07247944468958 55.16288925673831))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|27|3|18|0|0|0|0.10249307479224372
58|34676|POLYGON ((37.08032535756648 55.16291651421088, 37.08027818098055 55.16740828308589, 37.08812498895731 55.16743503960917, 37.08817128362047 55.16294326683524, 37.08032535756648 55.16291651421088))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|15|4|17|0|0|0|0.10249307479224372
59|34677|POLYGON ((37.08817128362047 55.16294326683524, 37.08812498895731 55.16743503960917, 37.09597180986404 55.16746129174677, 37.09601722260523 55.1629695146096, 37.08817128362047 55.16294326683524))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|4|2|4|0|0|0|0.13850415512465372
60|34678|POLYGON ((37.09601722260523 55.1629695146096, 37.09597180986404 55.16746129174677, 37.10381864346006 55.16748703894863, 37.10386317427444 55.16299525753211, 37.09601722260523 55.1629695146096))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|6|2|7|0|0|0|0.10803324099722988
61|34679|POLYGON ((37.10386317427444 55.16299525753211, 37.10381864346006 55.16748703894863, 37.11166548949895 55.16751228121296, 37.11170913838181 55.16302049560105, 37.10386317427444 55.16299525753211))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|9|3|7|0|0|0|0.11634349030470911
62|34680|POLYGON ((37.11170913838181 55.16302049560105, 37.11166548949895 55.16751228121296, 37.1195123477343 55.16753701853809, 37.119555114681 55.16304522881468, 37.11170913838181 55.16302049560105))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|21|3|14|1|0|0|0.9806094182825484
63|34681|POLYGON ((37.119555114681 55.16304522881468, 37.1195123477343 55.16753701853809, 37.12735921791971 55.1675612509223, 37.12740110293591 55.16306945607484, 37.119555114681 55.16304522881468))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|19|2|16|0|0|0|0.10249307479224372
64|34682|POLYGON ((37.12740110293591 55.16306945607484, 37.12735921791971 55.1675612509223, 37.13520609980877 55.16758497836396, 37.13524710287956 55.16309317957283, 37.12740110293591 55.16306945607484))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|18|5|16|2|0|0|0.6094182825484766
65|34683|POLYGON ((37.13524710287956 55.16309317957283, 37.13520609980877 55.16758497836396, 37.14305299316483 55.16760819976496, 37.14309311427607 55.16311639821055, 37.13524710287956 55.16309317957283))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|10|2|9|0|0|0|0.11634349030470911
66|34684|POLYGON ((37.14309311427607 55.16311639821055, 37.14305299316483 55.16760819976496, 37.15089989772166 55.16763091731663, 37.15093913688388 55.1631391114382, 37.14309311427607 55.16311639821055))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|14|0|9|0|0|0|0.09418282548476449
67|34685|POLYGON ((37.15093913688388 55.1631391114382, 37.15089989772166 55.16763091731663, 37.15874681324287 55.16765312992101, 37.15878517044698 55.16316132035069, 37.15093913688388 55.1631391114382))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|12|0|10|0|0|0|0.09418282548476449
68|34686|POLYGON ((37.15878517044698 55.16316132035069, 37.15874681324287 55.16765312992101, 37.16659373948202 55.16767483757654, 37.16663121472396 55.16318302439824, 37.15878517044698 55.16316132035069))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|3|8|8|2|0|0|0.7119113573407202
69|35016|POLYGON ((37.01750421245163 55.16717605021437, 37.01744996556412 55.17166777712499, 37.02529754234239 55.17169857871536, 37.02535090806698 55.16720684668884, 37.01750421245163 55.16717605021437))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|20|7|16|1|0|0|0.9806094182825484
70|35017|POLYGON ((37.02535090806698 55.16720684668884, 37.02529754234239 55.17169857871536, 37.03314513499102 55.17172887530719, 37.03319761858922 55.16723713824492, 37.02535090806698 55.16720684668884))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|49|6|42|2|0|0|1.0
71|35018|POLYGON ((37.03319761858922 55.16723713824492, 37.03314513499102 55.17172887530719, 37.04099274230574 55.17175866689469, 37.04104434377194 55.16726692488059, 37.03319761858922 55.16723713824492))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|51|3|32|2|0|0|1.0
72|35019|POLYGON ((37.04104434377194 55.16726692488059, 37.04099274230574 55.17175866689469, 37.04884036404002 55.17178795347578, 37.04889108336874 55.16729620659379, 37.04104434377194 55.16726692488059))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|23|8|20|1|0|0|0.9806094182825484
73|35020|POLYGON ((37.04889108336874 55.16729620659379, 37.04884036404002 55.17178795347578, 37.05668799995959 55.17181673395198, 37.05673783713326 55.16732498338251, 37.04889108336874 55.16729620659379))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|47|11|41|1|0|0|1.0
74|35021|POLYGON ((37.05673783713326 55.16732498338251, 37.05668799995959 55.17181673395198, 37.06453564979338 55.1718450105143, 37.06458460387331 55.16735325414488, 37.05673783713326 55.16732498338251))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|56|7|37|0|0|0|0.10249307479224372
75|35022|POLYGON ((37.06458460387331 55.16735325414488, 37.06453564979338 55.1718450105143, 37.07238331330728 55.1718727820643, 37.07243138523381 55.16738102107887, 37.06458460387331 55.16735325414488))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|58|15|51|0|0|0|0.10249307479224372
76|35023|POLYGON ((37.07243138523381 55.16738102107887, 37.07238331330728 55.1718727820643, 37.08023099121843 55.17190004805517, 37.08027818098055 55.16740828308589, 37.07243138523381 55.16738102107887))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|39|9|35|0|0|0|0.10249307479224372
77|35024|POLYGON ((37.08027818098055 55.16740828308589, 37.08023099121843 55.17190004805517, 37.08807868135298 55.17192680957487, 37.08812498895731 55.16743503960917, 37.08027818098055 55.16740828308589))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|37|4|31|2|0|0|1.0
78|35025|POLYGON ((37.08812498895731 55.16743503960917, 37.08807868135298 55.17192680957487, 37.09592638442817 55.1719530660767, 37.09597180986404 55.16746129174677, 37.08812498895731 55.16743503960917))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|14|3|12|0|0|0|0.10249307479224372
79|35026|POLYGON ((37.09597180986404 55.16746129174677, 37.09592638442817 55.1719530660767, 37.10377410019748 55.17197881755882, 37.10381864346006 55.16748703894863, 37.09597180986404 55.16746129174677))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|22|3|13|1|0|0|0.9806094182825484
80|35027|POLYGON ((37.10381864346006 55.16748703894863, 37.10377410019748 55.17197881755882, 37.11162182841442 55.17200406401953, 37.11166548949895 55.16751228121296, 37.10381864346006 55.16748703894863))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|9|6|14|0|0|0|0.11080332409972296
81|35028|POLYGON ((37.11166548949895 55.16751228121296, 37.11162182841442 55.17200406401953, 37.11946956883246 55.17202880545707, 37.1195123477343 55.16753701853809, 37.11166548949895 55.16751228121296))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|37|8|36|0|0|0|0.10249307479224372
82|35029|POLYGON ((37.1195123477343 55.16753701853809, 37.11946956883246 55.17202880545707, 37.12731732121535 55.17205304077327, 37.12735921791971 55.1675612509223, 37.1195123477343 55.16753701853809))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|13|3|11|0|0|0|0.10249307479224372
83|35030|POLYGON ((37.12735921791971 55.1675612509223, 37.12731732121535 55.17205304077327, 37.13516508529589 55.17207677215947, 37.13520609980877 55.16758497836396, 37.12735921791971 55.1675612509223))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|10|0|7|1|0|0|0.6371191135734071
84|35031|POLYGON ((37.13520609980877 55.16758497836396, 37.13516508529589 55.17207677215947, 37.14301285892231 55.17209999851194, 37.14305299316483 55.16760819976496, 37.13520609980877 55.16758497836396))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|21|6|15|1|0|0|0.9806094182825484
85|35032|POLYGON ((37.14305299316483 55.16760819976496, 37.14301285892231 55.17209999851194, 37.1508606456795 55.17212271984041, 37.15089989772166 55.16763091731663, 37.14305299316483 55.16760819976496))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|15|2|15|0|0|0|0.10249307479224372
86|35033|POLYGON ((37.15089989772166 55.16763091731663, 37.1508606456795 55.17212271984041, 37.15870844340523 55.17214493613763, 37.15874681324287 55.16765312992101, 37.15089989772166 55.16763091731663))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|14|3|15|0|0|0|0.10249307479224372
87|35034|POLYGON ((37.15874681324287 55.16765312992101, 37.15870844340523 55.17214493613763, 37.16655625185299 55.17216664740208, 37.16659373948202 55.16767483757654, 37.15874681324287 55.16765312992101))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|31|4|27|0|0|0|0.10249307479224372
88|35035|POLYGON ((37.16659373948202 55.16767483757654, 37.16655625185299 55.17216664740208, 37.17440407077625 55.17218785363226, 37.1744406742772 55.16769604027666, 37.16659373948202 55.16767483757654))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|13|5|16|0|0|0|0.10249307479224372
89|35368|POLYGON ((37.01744996556412 55.17166777712499, 37.01739570255982 55.17615950066589, 37.02524416266962 55.17619030683257, 37.02529754234239 55.17169857871536, 37.01744996556412 55.17166777712499))|216|Роговское|Троицкий административный округ|Новая Москва|572.0|178218314.8871|43|6|31|3|0|0|1.0
