Category,FullName,ShortName,OrgInfo,ObjectAddress,ChiefName,ChiefPosition,ChiefGender,ChiefPhone,PublicPhone,Fax,Email,CloseFlag,CloseReason,CloseDate,ReopenDate,BedSpace,PaidServiceInfo,WorkingHours,ClarificationWorkingHours,Specialization,global_id,BeneficialDrugPrescription,DrugStore,AmbulanceStation,AmbulanceStationPhone,DoctorsSpecialtiesListForSelfRecording,Extrainfo,AgeRestriction,DrugStoreType,geodata_center,geoarea
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 30 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 30 филиал № 3 ДЗМ,More then 1 level,More then 1 level,Жарких Олег Владимирович,заведующий филиалом,мужской,"ChiefPhone:(499) 445-00-33

","PublicPhone:(499) 638-32-89

","Fax:(495) 445-00-33

","Email:dgp30@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",Вс. и праздничные дни - обслуживание вызов на дому врачами-педиатрами с 9.00 до 15.00,Амбулаторно-поликлиническая помощь,656106300,,нет,нет,"AmbulancePhone:(499) 449-36-34

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: м. Кунцевская, авт. 11, 236, 688, 91, 240, до остановки &quot;ул. Артамонова&quot;.",детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 110 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 110 филиал № 2 ДЗМ,More then 1 level,More then 1 level,Менькина Наталья Михайловна,заведующий филиалом,женский,"ChiefPhone:(495) 473-14-76

","PublicPhone:(499) 477-74-06

","Fax:(499) 473-14-76

","Email:dgp110@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",Воскресение: 09:00 - 15:00 обслуживание вызовов на дому,Амбулаторно-поликлиническая помощь,656106301,,нет,нет,"AmbulancePhone:(495) 777-49-09

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: ст. м. «Бабушкинская», далее трамвай №17",детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 150 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 150 филиал № 2 ДЗМ,More then 1 level,More then 1 level,Аксенова Наталья Сергеевна,заведующий филиалом,женский,"ChiefPhone:(495) 770-68-75

","PublicPhone:(495) 770-71-10

","Fax:(495) 770-68-75

","Email:dgp150@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:09:00-15:00

",В воскресенье и праздничные дни 9:00 – 15:00 обслуживание вызовов на дому участковыми врачами-педиатрами,Амбулаторно-поликлиническая помощь,656106316,,нет,нет,"AmbulancePhone:(499) 940-40-57

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: м.Люблино, автобус 658, 242, 30 до остановки &quot;ул.Цимлянская&quot;. Маршрутное такси – 2, 30, 54, 731.",детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 39 филиал № 3 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 39 филиал № 3 ДЗМ,More then 1 level,More then 1 level,Шумак Лилия Леонидовна,заведующий филиалом,женский,"ChiefPhone:(495) 613-53-33

","PublicPhone:(495) 613-52-65

","Fax:(499) 613-53-33

","Email:dgp39@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",Воскресенье и праздничные дни - с 9.00 до 15.00 обслуживание вызовов на дому врачами-педиатрами,,656106317,,нет,да,"AmbulancePhone:(495) 614-37-67

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]",,детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 15 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 15 филиал № 1 ДЗМ,More then 1 level,More then 1 level,Серова Галина Егоровна,исполняющий обязанности заведующего филиалом,женский,"ChiefPhone:(499) 154-53-35

","PublicPhone:(499) 153-42-11

","Fax:(499) 154-53-35

","Email:dgp15@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",Воскресенье – 9:00 – 15:00 (обслуживание вызовов на дому),Амбулаторно-поликлиническая помощь,656106347,,нет,нет,"AmbulancePhone:(495) 485-21-92

AmbulancePhone:(495) 485-21-83

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: ст. м. Войковская, далее трамваи 23, 27 до ост. &quot;Коптевский рынок».",детское,,"{""coordinates"":[37.524315566559,55.833625985639],""type"":""Point""}",
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 122 Департамента здравоохранения Москвы». Консультативное отделение,ГБУЗ ДГП № 122 ДЗМ. Консультативное отделение,More then 1 level,More then 1 level,Брагин Александр Игоревич,главный врач,мужской,"ChiefPhone:(495) 468-32-50

","PublicPhone:(495) 465-32-43

","Fax:(495) 468-32-50

","Email:dgp122@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:выходной

DayWeek:воскресенье
WorkHours:выходной

",,Амбулаторно-поликлиническая помощь,656106356,,нет,нет,"AmbulancePhone:(495) 276-46-66

AmbulancePhone:(495) 276-46-67

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]",,детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 148 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 148 филиал № 1 ДЗМ,More then 1 level,More then 1 level,Очирова Эльза Эльдяевна,заведующий филиалом,женский,"ChiefPhone:(499) 356-16-71

","PublicPhone:(499) 356-18-51

","Fax:(499) 356-16-71

","Email:dgp148@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",Воскресенье: с 9.00 до 15.00 ч. (вызов на дом),Амбулаторно-поликлиническая помощь,656106357,,нет,нет,"AmbulancePhone:(495) 698-91-20

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: м. Марьино, Новочеркасский б-р, д.6, авт.: 749, 650, 657, 625 до остановки Детская поликлиника",детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 38 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 38 ДЗМ,More then 1 level,More then 1 level,Захарова Светлана Валерьевна,главный врач,женский,"ChiefPhone:(499) 246-02-88

","PublicPhone:(499) 246-01-01

","Fax:(499) 246-02-88

","Email:dgp38@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",,Амбулаторно-поликлиническая помощь,656106359,,нет,нет,"AmbulancePhone:(495) 670-95-90

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]",Проезд: м. «Спортивная».,детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 104 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 104 филиал № 1 ДЗМ,More then 1 level,More then 1 level,Дроздова Любовь Константиновна,заведующий филиалом,женский,"ChiefPhone:(495) 607-21-21

","PublicPhone:(499) 638-34-09

","Fax:(495) 607-28-40

","Email:dgp104@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",В воскресенье и праздничные дни 9:00 – 15:00 обслуживание вызовов на дому участковыми врачами-педиатрами,Амбулаторно-поликлиническая помощь,656106360,,нет,нет,"AmbulancePhone:(495) 670-95-90

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]",Проезд: м. &quot;Чистые пруды&quot; далее любой трамвай 3 остановки (ост. &quot;Казарменный пер.&quot;),детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 10 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 10 филиал № 1 ДЗМ,More then 1 level,More then 1 level,Ордина Ольга Николаевна,заведующий филиалом,женский,"ChiefPhone:(499) 132-79-92

","PublicPhone:(495) 637-85-04

","Fax:(499) 132-79-92

","Email:dgp10@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",Воскресенье с 9.00 до 15.00 (вызов на дом),Амбулаторно-поликлиническая помощь,656106369,,нет,да,"AmbulancePhone:(499) 132-79-06

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: метро Университет, Новые Черемушки, авт. № 113, № 1 до остановки &quot;ул. Гарибальди&quot;.",детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 42 филиал № 1 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 42 филиал № 1 ДЗМ,More then 1 level,More then 1 level,Крючкова Яна Юрьевна,заведующий филиалом,женский,"ChiefPhone:(495) 421-29-11

","PublicPhone:(499) 638-30-42

","Fax:(495) 421-29-11

","Email:dgp42@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",В воскресенье и праздничные дни 9:00 – 15:00 обслуживание вызовов на дому участковыми врачами-педиатрами,Амбулаторно-поликлиническая помощь,656106380,,нет,да,"AmbulancePhone:(495) 421-29-00

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: ст. м. «Ясенево», далее пешком 10 мин.",детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 42 филиал № 2 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 42 филиал № 2 ДЗМ,More then 1 level,More then 1 level,Цейслер Наталья Васильевна,заведующий филиалом,женский,"ChiefPhone:(495) 425-85-11

","PublicPhone:(499) 638-30-42

","Fax:(495) 425-85-11

","Email:dgp42@zdrav.mos.ru

",действует,,,,,отсутствуют,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",В воскресенье и праздничные дни 9:00 – 15:00 обслуживание вызовов на дому участковыми врачами-педиатрами,Амбулаторно-поликлиническая помощь,656106415,,нет,нет,"AmbulancePhone:(495) 637-80-81

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: ст. м. «Ясенево», далее 8 мин пешком или тролл. 85 (1 остановка).",детское,,,
Поликлиника детская,Государственное бюджетное учреждение здравоохранения города Москвы «Детская городская поликлиника № 58 филиал № 1 № 58 Департамента здравоохранения города Москвы»,ГБУЗ ДГП № 58 филиал № 1 ДЗМ,More then 1 level,More then 1 level,Тихонова Екатерина Владимировна,заведующий филиалом,женский,"ChiefPhone:(495) 750-98-09

","PublicPhone:(495) 750-67-06

","Fax:(495) 750-98-09

","Email:dgp58@zdrav.mos.ru

",действует,,,,,оказываются,"DayWeek:понедельник
WorkHours:08:00-20:00

DayWeek:вторник
WorkHours:08:00-20:00

DayWeek:среда
WorkHours:08:00-20:00

DayWeek:четверг
WorkHours:08:00-20:00

DayWeek:пятница
WorkHours:08:00-20:00

DayWeek:суббота
WorkHours:09:00-15:00

DayWeek:воскресенье
WorkHours:выходной

",В воскресенье и праздничные дни 9:00 – 15:00 обслуживание вызовов на дому участковыми врачами-педиатрами,Амбулаторно-поликлиническая помощь,656106416,,нет,нет,"AmbulancePhone:(495) 491-77-66

","[Врач-педиатр, Врач-педиатр участковый, Врач-детский хирург]","Проезд: м. &quot;Строгино&quot;, далее пешком.",детское,,"{""coordinates"":[37.398327856732,55.809457278076],""type"":""Point""}",
